has_null,age,age_o,d_age,d_d_age,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,person_id,gender_female,gender_male,race_Asian/Pacific Islander/Asian-American,race_Black/African American,race_European/Caucasian-American,race_Latino/Hispanic American,race_Other,race_o_?,race_o_Asian/Pacific Islander/Asian-American,race_o_Black/African American,race_o_European/Caucasian-American,race_o_Latino/Hispanic American,race_o_Other,field_anthropology,field_architecture,field_art,field_biology,field_business,field_chemistry,field_communications,field_economics,field_education,field_engineering,field_environmental science,field_finance,field_health,field_history,field_law,field_literature,field_mathematics,field_medicine,field_other/job,field_philosophy,field_physics,field_political science,field_psychology,field_religion,field_sociology
1.0,27.0,24.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,25.0,26.0,15.0,10.0,9.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,7.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,15.0,20.0,20.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,8.0,2.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,7.0,10.0,9.0,8.0,7.0,9.0,1.0,7.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.29,-1.0,6.0,1.5,1.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,474.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,33.0,24.0,9.0,3.0,0.0,4.0,8.0,1.0,2.0,20.0,21.0,21.0,22.0,6.0,10.0,1.0,2.0,2.0,2.0,0.0,0.0,6.0,8.0,8.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,15.0,15.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,9.0,9.0,9.0,0.0,1.0,2.0,2.0,2.0,4.0,7.0,7.0,5.0,7.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,8.0,8.0,8.0,5.0,5.0,3.0,1.0,5.0,5.0,7.0,7.0,10.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.41,1.0,6.0,5.0,1.0,0.0,1.0,6.0,5.0,1.0,1.0,0.0,375.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,30.0,8.0,3.0,1.0,4.0,5.0,1.0,1.0,20.0,20.0,25.0,25.0,5.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,6.0,5.0,6.0,7.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,20.0,22.0,18.0,15.0,15.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,9.0,8.0,7.0,8.0,1.0,2.0,1.0,1.0,1.0,5.0,6.0,6.0,7.0,6.0,3.91,0.0,1.0,1.0,1.0,1.0,0.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.04,0.0,7.0,3.0,2.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,24.0,26.0,2.0,1.0,1.0,4.0,8.0,1.0,2.0,20.0,35.0,20.0,10.0,10.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,6.0,7.0,6.0,7.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,35.0,10.0,20.0,20.0,10.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,9.0,8.0,9.0,1.0,1.0,2.0,1.0,2.0,9.0,6.0,7.0,7.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-0.34,-1.0,5.0,3.0,1.0,1.0,1.0,7.0,4.0,1.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.0,21.0,5.0,2.0,1.0,2.0,4.0,1.0,1.0,50.0,5.0,20.0,10.0,5.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,8.0,5.0,4.61,3.55,0.0,2.0,1.0,0.0,0.0,0.0,20.0,25.0,20.0,10.0,5.0,20.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,10.0,6.0,9.0,3.0,0.0,2.0,1.0,2.0,0.0,7.0,8.0,7.0,6.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,7.0,5.0,7.0,5.0,4.0,8.0,7.0,1.0,5.0,7.0,2.0,2.0,10.0,9.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.37,1.0,7.0,2.0,2.0,0.0,0.0,6.0,5.0,1.0,1.0,0.0,316.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,33.0,23.0,10.0,3.0,0.0,1.0,7.0,0.0,2.0,25.0,20.0,20.0,20.0,5.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,8.0,7.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,20.0,10.0,20.0,20.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,7.0,8.0,8.0,9.0,7.0,1.0,1.0,1.0,2.0,1.0,4.0,8.0,6.0,3.0,7.0,4.1,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,10.0,8.0,7.0,8.0,7.0,1.0,6.0,7.0,4.0,8.0,8.0,8.0,9.0,6.0,7.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.48,1.0,6.0,5.0,1.0,0.0,1.0,7.0,6.0,1.0,1.0,0.0,344.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,22.0,24.0,2.0,1.0,0.0,4.0,7.0,1.0,2.0,30.0,20.0,20.0,10.0,15.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,6.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,15.0,25.0,15.0,15.0,20.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,6.0,7.0,7.0,0.0,1.0,1.0,1.0,1.0,10.0,5.2,8.0,5.05,5.05,4.19,2.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,4.0,3.0,8.0,7.0,9.0,9.0,4.0,8.0,6.0,8.0,7.0,8.0,6.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.08,0.0,7.0,3.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,283.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,29.0,28.0,1.0,0.0,0.0,8.0,7.0,2.0,2.0,20.0,20.0,20.0,20.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,7.0,7.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,10.0,30.0,10.0,10.0,1.56,2.0,0.0,2.0,0.0,0.0,0.0,9.0,6.0,8.0,8.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,4.0,2.0,2.0,2.0,8.0,6.0,2.0,2.0,2.0,3.0,7.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.51,-1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,523.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,33.0,32.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,15.0,20.0,25.0,10.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,7.0,7.0,5.0,8.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,25.0,30.0,10.0,10.0,5.0,20.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,10.0,9.0,8.0,7.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,5.0,7.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,5.0,8.0,10.0,10.0,6.0,1.0,6.0,10.0,7.0,7.0,10.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.68,1.0,7.0,8.0,2.0,0.0,2.0,6.0,5.0,1.0,1.0,0.0,250.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,27.0,28.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,35.0,0.0,35.0,10.0,10.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,9.0,10.0,10.0,1.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,10.0,5.0,8.0,8.0,0.0,7.0,3.0,8.0,6.0,5.0,5.0,8.0,8.0,4.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.24,-1.0,4.0,3.0,0.0,0.0,1.0,6.0,8.0,1.0,2.0,0.0,407.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,26.0,2.0,1.0,0.0,7.0,4.0,2.0,1.0,20.0,10.0,25.0,25.0,10.0,10.0,1.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,8.0,7.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,10.0,10.0,10.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,9.0,9.0,9.0,1.0,1.0,2.0,2.0,2.0,7.0,9.0,10.0,8.0,10.0,9.0,1.0,2.0,2.0,1.0,2.0,2.0,7.0,8.0,7.0,7.0,6.0,6.0,3.0,1.0,6.0,7.0,2.0,2.0,2.0,5.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.0,7.0,2.0,2.0,0.0,0.0,7.0,5.0,1.0,1.0,0.0,365.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,27.0,1.0,0.0,1.0,9.0,1.0,2.0,0.0,9.52,19.05,23.81,19.05,4.76,23.81,0.0,1.0,2.0,1.0,0.0,2.0,8.0,5.0,7.0,5.0,6.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,16.0,16.0,18.0,18.0,16.0,14.55,1.0,1.0,1.0,1.0,1.0,0.0,7.0,9.0,9.0,9.0,9.0,1.0,2.0,2.0,2.0,2.0,4.0,10.0,10.0,5.0,7.0,6.0,0.0,2.0,2.0,0.0,1.0,1.0,9.0,8.0,9.0,10.0,9.0,9.0,5.0,8.0,1.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.06,0.0,5.0,2.0,1.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,208.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,28.0,24.0,4.0,2.0,0.0,4.0,9.0,1.0,2.0,14.0,18.0,20.0,18.0,16.0,14.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,15.0,15.0,15.0,21.0,20.59,0.0,0.0,0.0,0.0,2.0,2.0,5.0,9.0,7.0,6.0,7.0,0.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,6.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,8.0,3.0,8.0,8.0,8.0,7.0,3.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,2.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.11,0.0,4.0,2.13,0.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,222.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,23.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,18.6,13.95,18.6,16.28,16.28,16.28,1.0,0.0,1.0,1.0,1.0,1.0,7.0,6.0,7.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,14.0,21.0,21.0,19.0,9.52,0.0,0.0,2.0,2.0,1.0,0.0,9.0,9.0,9.0,10.0,7.0,2.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.63,-1.0,7.0,1.68,2.0,0.0,0.0,8.0,8.0,1.0,2.0,0.0,139.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,25.0,24.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,35.0,10.0,20.0,20.0,10.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,8.0,8.0,6.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,20.0,20.0,20.0,5.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,10.0,10.0,10.0,8.0,1.0,2.0,2.0,2.0,1.0,9.0,7.0,8.0,8.0,9.0,4.63,2.0,1.0,1.0,1.0,2.0,0.0,10.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,5.0,5.0,6.0,5.0,8.0,2.0,7.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.57,-1.0,6.0,4.0,1.0,1.0,1.0,8.0,4.0,1.0,0.0,0.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,24.0,6.0,2.0,0.0,1.0,10.0,0.0,2.0,30.0,15.0,15.0,15.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,10.0,7.0,9.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,10.0,20.0,20.0,10.0,10.0,30.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,10.0,6.0,8.0,4.57,1.0,2.0,2.0,1.0,1.0,0.0,6.0,1.0,6.0,10.0,6.0,6.0,8.0,1.0,4.0,10.0,6.0,8.0,8.0,8.0,8.0,4.0,6.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.74,1.0,6.0,10.0,1.0,0.0,2.0,8.0,8.0,1.0,2.0,0.0,385.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,22.0,10.0,3.0,0.0,3.0,1.0,1.0,0.0,16.0,20.0,19.0,16.0,18.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,8.0,7.0,7.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,30.0,20.0,10.0,10.0,1.0,0.0,2.0,1.0,0.0,0.0,8.0,8.0,8.0,9.0,7.0,1.0,1.0,1.0,2.0,1.0,9.0,8.0,7.0,8.0,5.0,6.0,2.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,7.0,8.0,6.0,4.0,2.0,2.0,2.0,6.0,7.0,3.0,7.0,6.0,8.0,8.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.34,1.0,6.0,2.0,1.0,0.0,0.0,8.0,7.0,1.0,2.0,0.0,311.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,27.0,22.0,5.0,2.0,0.0,6.0,1.0,2.0,0.0,15.38,19.23,19.23,19.23,15.38,11.54,1.0,1.0,1.0,1.0,1.0,0.0,6.0,9.0,9.0,7.0,8.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,16.0,18.0,18.0,18.0,18.0,13.33,1.0,1.0,1.0,1.0,1.0,0.0,7.0,9.0,7.0,9.0,9.0,1.0,2.0,1.0,2.0,2.0,8.0,8.0,8.0,7.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,6.0,3.0,7.0,6.0,3.0,4.0,3.0,7.0,8.0,7.0,8.0,8.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.49,1.0,6.0,0.95,1.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,218.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.0,27.0,3.0,1.0,0.0,6.0,6.0,2.0,2.0,15.0,25.0,20.0,20.0,0.0,20.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,6.0,7.0,4.0,7.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,50.0,10.0,10.0,10.0,5.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,4.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,8.0,7.0,8.0,8.0,5.0,5.0,6.0,5.0,6.0,9.0,10.0,9.0,8.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.54,1.0,7.0,2.0,2.0,0.0,0.0,6.0,5.0,1.0,1.0,0.0,369.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,23.0,2.0,1.0,1.0,8.0,8.0,2.0,2.0,25.64,17.95,15.38,20.51,10.26,10.26,2.0,1.0,1.0,2.0,0.0,0.0,6.0,7.0,7.0,7.0,5.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,17.0,17.0,17.0,17.0,15.38,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,9.0,9.0,8.0,1.0,1.0,2.0,2.0,1.0,9.0,7.0,8.0,5.12,9.0,9.0,2.0,1.0,1.0,0.0,2.0,2.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.0,2.0,1.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0,198.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,33.0,25.0,8.0,3.0,0.0,2.0,1.0,1.0,0.0,30.0,10.0,15.0,20.0,15.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,9.0,8.0,7.0,9.0,8.0,1.0,2.0,1.0,1.0,2.0,1.0,40.0,15.0,25.0,5.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,7.0,8.0,10.0,7.0,10.0,4.48,1.0,1.0,2.0,1.0,2.0,0.0,3.0,4.0,4.0,10.0,9.0,10.0,1.0,1.0,8.0,7.0,10.0,8.0,10.0,1.0,4.0,10.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.41,1.0,2.0,6.0,0.0,0.0,2.0,7.0,6.0,1.0,1.0,0.0,338.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
